Timestamp,tmobile_download
2024/07/20 12:15:55,18.53
2024/07/20 12:20:54,17.26
2024/07/20 12:25:54,15.65
2024/07/20 12:30:54,15.61
2024/07/20 12:35:54,13.24
2024/07/20 12:40:54,20.55
2024/07/20 12:45:53,16.42
2024/07/20 12:50:53,12.49
2024/07/20 12:55:53,9.89
2024/07/20 13:00:53,13.24
2024/07/20 13:05:53,15.54
2024/07/20 13:10:53,11.56
2024/07/20 13:15:53,15.2
2024/07/20 13:20:53,7.74
2024/07/20 13:25:53,11.25
2024/07/20 13:30:53,6.72
2024/07/20 13:35:53,12.34
2024/07/20 13:40:53,13.95
2024/07/20 13:45:52,16.5
2024/07/20 13:50:52,13.75
2024/07/20 13:55:52,7.87
2024/07/20 14:00:52,16.3
2024/07/20 14:05:52,-1
2024/07/20 14:10:52,11.21
2024/07/20 14:15:51,-1
2024/07/20 14:20:51,15.82
2024/07/20 14:25:51,24.28
2024/07/20 14:30:51,13.75
2024/07/20 14:35:51,12.77
2024/07/20 14:40:50,16.21
2024/07/20 14:45:50,14.76
2024/07/20 14:50:49,13.53
2024/07/20 14:55:48,16.69
2024/07/20 15:00:48,13.16
2024/07/20 15:05:48,11.53
2024/07/20 15:10:48,8.67
2024/07/20 15:15:47,14.75
2024/07/20 15:20:47,11.51
2024/07/20 15:25:47,-1
2024/07/20 15:30:47,11.26
2024/07/20 15:35:47,10.34
2024/07/20 15:40:46,-1
2024/07/20 15:45:46,13.44
2024/07/20 15:50:46,13.29
2024/07/20 15:55:46,12.9
2024/07/20 16:00:46,9.32
2024/07/20 16:05:45,20.71
2024/07/20 16:10:45,14.27
2024/07/20 16:15:45,16.5
2024/07/20 16:20:45,15.38
2024/07/20 16:25:45,23.68
2024/07/20 16:30:44,-1
2024/07/20 16:35:44,11.75
2024/07/20 16:40:43,12.25
2024/07/20 16:45:42,22.91
2024/07/20 16:50:42,19.04
2024/07/20 16:55:41,23.23
2024/07/20 17:00:41,18.28
2024/07/20 17:05:41,15.47
2024/07/20 17:10:41,18.16
2024/07/20 17:15:41,15.28
2024/07/20 17:20:41,14.77
2024/07/20 17:25:41,20.42
2024/07/20 17:30:41,18.4
2024/07/20 17:35:41,16.54
2024/07/20 17:40:41,15.45
2024/07/20 17:45:41,-1
2024/07/20 17:50:41,21.64
2024/07/20 17:55:41,18.38
2024/07/20 18:00:40,19.75
2024/07/20 18:05:40,-1
2024/07/20 18:10:40,18.24
2024/07/20 18:15:40,-1
2024/07/20 18:20:39,17.37
2024/07/20 18:25:39,19.38
2024/07/20 18:30:39,21.12
2024/07/20 18:35:39,-1
2024/07/20 18:40:39,-1
2024/07/20 18:45:39,23.67
2024/07/20 18:50:39,23.82
2024/07/20 18:55:39,28.39
2024/07/20 19:00:39,23.29
2024/07/20 19:05:39,-1
2024/07/20 19:10:38,16.1
2024/07/20 19:15:37,19.72
2024/07/20 19:20:37,17.85
2024/07/20 19:25:37,20.49
2024/07/20 19:30:37,19.53
2024/07/20 19:35:37,17.4
2024/07/20 19:40:37,13.42
2024/07/20 19:45:37,19.71
2024/07/20 19:50:37,18.09
2024/07/20 19:55:37,18.21
2024/07/20 20:00:37,18.94
2024/07/20 20:05:37,20.46
2024/07/20 20:10:37,15.78
2024/07/20 20:15:37,22.12
2024/07/20 20:20:37,14.25
2024/07/20 20:25:37,18.09
2024/07/20 20:30:37,18.61
2024/07/20 20:35:37,20.06
2024/07/20 20:40:37,19.64
2024/07/20 20:45:37,24.1
2024/07/20 20:50:37,19.16
2024/07/20 20:55:37,18.63
2024/07/20 21:00:36,22.59
2024/07/20 21:05:36,23.51
2024/07/20 21:10:36,19.48
2024/07/20 21:15:36,27.67
2024/07/20 21:20:36,26.99
2024/07/20 21:25:36,30.08
2024/07/20 21:30:35,24.3
2024/07/20 21:35:35,17.44
2024/07/20 21:40:35,26.34
2024/07/20 21:45:35,24.31
2024/07/20 21:50:35,22.01
2024/07/20 21:55:35,21.19
2024/07/20 22:00:35,26.7
2024/07/20 22:05:35,26.22
2024/07/20 22:10:35,26.55
2024/07/20 22:15:35,28.22
2024/07/20 22:20:34,23.65
2024/07/20 22:25:34,24.22
2024/07/20 22:30:34,20.06
2024/07/20 22:35:34,20.58
2024/07/20 22:40:33,31.85
2024/07/20 22:45:33,21.09
2024/07/20 22:50:33,19.01
2024/07/20 22:55:33,12.15
2024/07/20 23:00:32,18.57
2024/07/20 23:05:32,24.51
2024/07/20 23:10:31,25.59
2024/07/20 23:15:31,24.9
2024/07/20 23:20:31,24.8
2024/07/20 23:25:31,34.86
2024/07/20 23:30:31,28.1
2024/07/20 23:35:31,23.57
2024/07/20 23:40:31,28.64
2024/07/20 23:45:31,19.87
2024/07/20 23:50:31,19.28
2024/07/20 23:55:31,19.22
